loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0.003834078,0.02369865,0.003550372,0.019735934,9.467782,8.026619
0.0038036644,0.023523903,0.0034816898,0.019855391,9.451426,8.058427
0.0038139615,0.023539782,0.0035132584,0.01973268,9.422959,8.0211
0.0037958894,0.02349822,0.0034349947,0.020191377,9.414703,8.063111
0.0037713307,0.023453813,0.0034212111,0.020031337,9.356713,8.012199
0.0037480567,0.02332663,0.0034858698,0.019862572,9.378194,8.000987
0.003741452,0.02338267,0.0034085116,0.020373477,9.381316,8.061301
0.0037398667,0.023362696,0.0034127454,0.020083468,9.36359,8.0250635
0.0037272705,0.023218209,0.0034364366,0.020847727,9.314655,8.119779
0.0037597686,0.023343565,0.0035699299,0.023267489,9.363502,8.345919
0.0037529466,0.023473233,0.0033775936,0.021777507,9.348036,8.109914
0.0036997702,0.023421029,0.003412302,0.022628216,9.316982,8.224976
0.0037140937,0.023384763,0.0033985747,0.020605804,9.306607,8.049051
0.0037024622,0.023341287,0.0033723118,0.021471709,9.276789,8.1388645
0.0036970144,0.023342138,0.003453311,0.020472288,9.297196,7.952901
0.0037123496,0.023298988,0.0034347868,0.022735167,9.290026,8.222305
0.003703431,0.023446186,0.0034444504,0.021561194,9.331669,8.127
0.0037207871,0.023427116,0.0034955994,0.021219134,9.308668,8.089662
0.0037159957,0.023410313,0.0034766325,0.020192634,9.2626915,8.0116825
0.0037175356,0.023373686,0.0035162016,0.019741185,9.320476,8.082573
0.0037414301,0.023704393,0.0035893247,0.023703843,9.335206,8.396432
0.0037563553,0.024109235,0.0034272624,0.021158911,9.408025,8.105157
0.003704776,0.024018187,0.0034686509,0.021773849,9.294735,8.109608
0.0036786217,0.024001053,0.0034038224,0.01943069,9.261954,7.919649
0.0036482522,0.023965944,0.0033362883,0.019986132,9.256628,8.0037985
0.0036399956,0.02390851,0.003386081,0.021768669,9.267018,8.121001
0.003628187,0.023934359,0.0033662638,0.020249447,9.250126,7.9538007
0.003620461,0.02387097,0.0033905013,0.02227067,9.238071,8.084087
0.0036156136,0.023811247,0.0033439582,0.021357784,9.220599,7.9852257
0.0035969017,0.023701342,0.0033186998,0.02129406,9.217391,7.946765
0.0036021187,0.023639249,0.0033790504,0.019910352,9.172814,7.846848
0.0035850974,0.023562195,0.0032995641,0.021937348,9.1935,7.9835434
0.003583183,0.02351777,0.0033663216,0.019766567,9.150001,7.8439555
0.003580623,0.02349222,0.0033149517,0.020474218,9.128565,7.872807
0.003577861,0.023421042,0.0033444327,0.022040263,9.123529,8.02343
0.003569925,0.023385197,0.0033520663,0.020742696,9.11947,7.8488526
0.0035691552,0.023329869,0.0033253073,0.019272266,9.095611,7.762435
0.0035561917,0.023215093,0.0032924314,0.020789795,9.071902,7.895553
0.0035613773,0.023367438,0.003245417,0.020294668,9.110528,7.8302894
0.0035447539,0.023271833,0.0032869196,0.02021498,9.087945,7.859843
0.0035447679,0.023289587,0.0033293534,0.02157007,9.073938,7.9492292
0.0035345803,0.023233442,0.0033679334,0.01895325,9.106858,7.785062
0.0035402908,0.023319157,0.0032921664,0.019395933,9.095864,7.7051806
0.0035336786,0.023217294,0.003282402,0.020276645,9.049788,7.8086367
0.003535243,0.02324001,0.0032990286,0.02012163,9.044169,7.7646046
0.003517432,0.023043996,0.0033118706,0.02075328,9.026455,7.907058
0.0035207712,0.02309994,0.003312757,0.020068647,9.009705,7.8030562
0.0035328544,0.023056423,0.0032916896,0.02029291,9.037976,7.8514304
0.0035128414,0.023073232,0.0032650053,0.021409642,9.066878,7.8777595
0.0035210361,0.023062946,0.0033667188,0.019894311,9.043463,7.8236527
0.0035139995,0.023002349,0.0033170755,0.018905872,9.01338,7.7134953
0.0035184692,0.02321511,0.0032477023,0.019789489,9.010776,7.772002
0.0035193972,0.023012027,0.0032728307,0.020338768,9.051542,7.827837
0.0035026579,0.022963451,0.0032760524,0.018419754,9.010728,7.6852922
0.0035078118,0.023010507,0.00333254,0.02024932,9.023568,7.8246818
0.00351351,0.022975145,0.0032862667,0.020105831,9.044903,7.8049173
0.003505472,0.022960292,0.0033293357,0.018921705,9.013986,7.725502
0.0035002404,0.022882987,0.0033286873,0.019963296,8.961839,7.778255
0.0034960937,0.022927832,0.00334147,0.019335989,8.9820795,7.7584376
0.0034954343,0.022902098,0.003317415,0.018902743,9.003546,7.7251573
0.0034858077,0.022899698,0.0033123184,0.018907325,8.996753,7.6534305
0.0034972557,0.02288374,0.0033114692,0.019374248,8.933553,7.721127
0.0034821788,0.02283236,0.0033389747,0.019320227,8.966635,7.7294707
0.0034910776,0.022885948,0.0032861645,0.020880654,8.997044,7.8451605
0.003487431,0.022929838,0.0032673578,0.020415097,8.975715,7.855817
0.003489365,0.022844324,0.0032369522,0.019252462,8.968837,7.7010922
0.0034797527,0.02278567,0.0032642975,0.019833352,8.98098,7.7772956
0.0034923502,0.022917205,0.0033414036,0.019523803,9.0132065,7.7400045
