loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0.0038159068,0.024311889,0.0035131879,0.023559175,9.4002695,8.310765
0.0038279672,0.02435957,0.003538849,0.021954427,9.41286,8.173134
0.003824207,0.024389552,0.0035518736,0.020923266,9.426415,8.070528
0.0038260666,0.024380837,0.0035388425,0.021113157,9.4228325,8.108441
0.0038155082,0.024273206,0.0035249526,0.021261178,9.379108,8.110424
0.003827135,0.024372466,0.0034831183,0.022957914,9.430639,8.268443
0.003829354,0.024389105,0.0035610597,0.02209496,9.423777,8.20867
0.0038219143,0.024433522,0.0034990236,0.023222897,9.407963,8.269946
0.0038107682,0.024346408,0.003502471,0.021350287,9.418921,8.117199
0.0038168565,0.024386432,0.0035114144,0.022340411,9.4100275,8.171938
0.0038113892,0.024337778,0.0035006178,0.021086251,9.401153,8.082656
0.0038188605,0.02439937,0.0034698553,0.022782482,9.46278,8.211723
0.0038206882,0.024418693,0.0035151856,0.022206407,9.433061,8.158614
0.0038097422,0.024452232,0.0035138999,0.020587651,9.417023,8.052664
0.0038141445,0.024443062,0.0035407667,0.02175239,9.412132,8.154982
0.0038084195,0.024448976,0.0035198778,0.022668317,9.429747,8.221467
0.0038026478,0.024462877,0.0035055033,0.02111897,9.419434,8.080089
0.0038109447,0.024461439,0.003481003,0.022601418,9.417977,8.21224
0.003806666,0.024470573,0.0035539574,0.022526737,9.415591,8.201719
0.0038090413,0.024448264,0.0035007554,0.020579673,9.415109,8.031216
0.0038044448,0.024398565,0.00352652,0.021417098,9.405324,8.11751
0.0038051438,0.024423366,0.0034851423,0.022136858,9.402963,8.182915
0.0037969216,0.02442794,0.0035113038,0.023678904,9.405934,8.288316
0.0038050099,0.024573402,0.0034604336,0.02076657,9.41278,8.0141535
0.0037919027,0.024446256,0.0035084942,0.020913705,9.4216175,8.042519
0.0038049808,0.024474999,0.0034458549,0.023377255,9.402156,8.278479
