loss,mean_absolute_error,val_loss,val_mean_absolute_error,mean_absolute_percentage_error,val_mean_absolute_percentage_error
0.0036475488,0.023273533,0.0033464225,0.023098616,9.212497,8.157551
0.0036378084,0.023265142,0.003369416,0.018988093,9.215144,7.8233733
0.0036370198,0.023264598,0.0033752937,0.02469583,9.209468,8.417497
0.003625247,0.023177374,0.0033624803,0.020639371,9.1758995,7.971175
0.0036248395,0.023305953,0.003388993,0.020589825,9.190722,8.005739
0.0036054717,0.023181709,0.0034028222,0.021647194,9.174903,8.096888
0.0036149295,0.023311373,0.0033817582,0.022428349,9.174424,8.115412
0.0036066815,0.023375848,0.0033621166,0.022912785,9.204563,8.233653
0.003595719,0.023295013,0.0033030133,0.02003612,9.17295,7.921212
0.0035900623,0.023399774,0.0033638282,0.024458507,9.165748,8.329307
0.0035743406,0.023319097,0.0033409826,0.020451592,9.1608,7.9395556
0.0035768594,0.023368781,0.0032534006,0.02348634,9.16079,8.190514
0.00357232,0.02338695,0.0033453887,0.021251202,9.155145,8.03323
0.0035646851,0.023324199,0.0033483389,0.019947903,9.136424,7.9189124
0.0035482177,0.02321639,0.0032979974,0.022182059,9.101856,8.100723
0.003561002,0.023278235,0.0033211596,0.019224009,9.123551,7.8203435
0.003552514,0.023310497,0.0033664808,0.019356247,9.093064,7.926305
0.0035318937,0.023201857,0.003300375,0.021818172,9.0999975,8.061839
0.0035404812,0.023458168,0.003274033,0.020341067,9.108372,7.9840517
0.003532344,0.023262972,0.0033912908,0.019545466,9.080754,7.881986
0.0035358646,0.023289701,0.0033297364,0.02051313,9.067774,7.939176
0.0035340786,0.0234158,0.0033484085,0.020213133,9.084563,7.875695
0.0035281093,0.023382727,0.003327539,0.021960832,9.075482,8.050598
0.0035187348,0.023227422,0.0033210882,0.022173941,9.044844,8.108755
0.003516619,0.023312444,0.0033277893,0.019831914,9.059153,7.868359
0.0035025934,0.02310066,0.003258376,0.022048552,9.039262,8.10803
0.003503201,0.023197794,0.0033078026,0.02277582,9.047843,8.149435
0.0034989717,0.023171484,0.0033054252,0.022504557,9.047107,8.057062
0.003499502,0.023172105,0.003374106,0.020217983,9.043879,7.88124
0.003498199,0.023251735,0.0032710244,0.02302185,9.039502,8.118306
0.003499286,0.023324797,0.0032645739,0.0199267,9.075657,7.7969174
0.0035019452,0.023308313,0.0033890917,0.020375982,9.050597,7.8665514
0.0034885255,0.023221092,0.0032312511,0.020784613,9.03791,7.9057083
0.003471709,0.023082728,0.003293908,0.020759173,9.004811,7.9347014
0.0034834342,0.023096811,0.0033188963,0.020328341,9.015788,7.9247913
0.003495476,0.0232865,0.0032680775,0.02057943,9.039273,7.898233
0.0034830226,0.023224924,0.0033536982,0.025205342,9.022999,8.379055
0.0034929556,0.02323832,0.0033158383,0.020491121,9.01841,7.936142
0.003475059,0.023130529,0.00334242,0.022376105,9.018504,8.087004
0.0034750863,0.023220079,0.0033703684,0.021583568,9.011514,8.068072
0.0034836999,0.023380637,0.003261837,0.019785486,9.018002,7.8416586
0.0034560498,0.02322203,0.0033660522,0.021676434,8.97375,8.046683
0.0034568016,0.023185313,0.003334664,0.02049174,9.001319,7.8856244
0.0034549958,0.023112541,0.003247765,0.020337198,8.990629,7.866459
0.0034538026,0.023232365,0.0032810715,0.020295171,8.975496,7.9004607
0.003444056,0.023344811,0.0032418713,0.021916648,8.964849,7.9870515
0.003444417,0.023090607,0.0032900306,0.019996045,8.946785,7.84265
0.0034438327,0.023299813,0.0032595673,0.021322034,8.986852,7.894328
0.0034516405,0.02331893,0.0032190855,0.019727645,8.981266,7.764295
0.0034346678,0.023260223,0.0032129034,0.01986857,8.956144,7.795321
0.0034337868,0.023291143,0.0032745241,0.02293758,8.972983,8.089611
0.003437819,0.0232248,0.0032783728,0.02051906,8.913857,7.883521
0.0034322562,0.023270521,0.0032614192,0.021795545,8.9477625,7.972312
0.0034292038,0.023388477,0.003278623,0.020261183,8.949689,7.8435826
